"Town/County","FIPS","Year","Price Range","Measure Type","Variable","Value"
"Andover","0901301080",2011,"Less than $100,000","Number","Number of Home Sales",0
"Andover","0901301080",2012,"Less than $100,000","Number","Number of Home Sales",1
"Andover","0901301080",2013,"Less than $100,000","Number","Number of Home Sales",4
"Andover","0901301080",2011,"$100,000 to $199,999","Number","Number of Home Sales",1
"Andover","0901301080",2012,"$100,000 to $199,999","Number","Number of Home Sales",3
"Andover","0901301080",2013,"$100,000 to $199,999","Number","Number of Home Sales",9
"Andover","0901301080",2011,"$200,000 to $299,999","Number","Number of Home Sales",2
"Andover","0901301080",2012,"$200,000 to $299,999","Number","Number of Home Sales",13
"Andover","0901301080",2013,"$200,000 to $299,999","Number","Number of Home Sales",9
"Andover","0901301080",2011,"$300,000 to $399,999","Number","Number of Home Sales",0
"Andover","0901301080",2012,"$300,000 to $399,999","Number","Number of Home Sales",6
"Andover","0901301080",2013,"$300,000 to $399,999","Number","Number of Home Sales",3
"Andover","0901301080",2011,"$400,000 and Over","Number","Number of Home Sales",1
"Andover","0901301080",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Andover","0901301080",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Ansonia","0900901220",2011,"Less than $100,000","Number","Number of Home Sales",0
"Ansonia","0900901220",2012,"Less than $100,000","Number","Number of Home Sales",-9999
"Ansonia","0900901220",2013,"Less than $100,000","Number","Number of Home Sales",23
"Ansonia","0900901220",2011,"$100,000 to $199,999","Number","Number of Home Sales",37
"Ansonia","0900901220",2012,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Ansonia","0900901220",2013,"$100,000 to $199,999","Number","Number of Home Sales",68
"Ansonia","0900901220",2011,"$200,000 to $299,999","Number","Number of Home Sales",25
"Ansonia","0900901220",2012,"$200,000 to $299,999","Number","Number of Home Sales",-9999
"Ansonia","0900901220",2013,"$200,000 to $299,999","Number","Number of Home Sales",41
"Ansonia","0900901220",2011,"$300,000 to $399,999","Number","Number of Home Sales",3
"Ansonia","0900901220",2012,"$300,000 to $399,999","Number","Number of Home Sales",-9999
"Ansonia","0900901220",2013,"$300,000 to $399,999","Number","Number of Home Sales",2
"Ansonia","0900901220",2011,"$400,000 and Over","Number","Number of Home Sales",0
"Ansonia","0900901220",2012,"$400,000 and Over","Number","Number of Home Sales",-9999
"Ansonia","0900901220",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Ashford","0901501430",2011,"Less than $100,000","Number","Number of Home Sales",-9999
"Ashford","0901501430",2012,"Less than $100,000","Number","Number of Home Sales",4
"Ashford","0901501430",2013,"Less than $100,000","Number","Number of Home Sales",7
"Ashford","0901501430",2011,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Ashford","0901501430",2012,"$100,000 to $199,999","Number","Number of Home Sales",13
"Ashford","0901501430",2013,"$100,000 to $199,999","Number","Number of Home Sales",20
"Ashford","0901501430",2011,"$200,000 to $299,999","Number","Number of Home Sales",-9999
"Ashford","0901501430",2012,"$200,000 to $299,999","Number","Number of Home Sales",8
"Ashford","0901501430",2013,"$200,000 to $299,999","Number","Number of Home Sales",12
"Ashford","0901501430",2011,"$300,000 to $399,999","Number","Number of Home Sales",-9999
"Ashford","0901501430",2012,"$300,000 to $399,999","Number","Number of Home Sales",3
"Ashford","0901501430",2013,"$300,000 to $399,999","Number","Number of Home Sales",3
"Ashford","0901501430",2011,"$400,000 and Over","Number","Number of Home Sales",-9999
"Ashford","0901501430",2012,"$400,000 and Over","Number","Number of Home Sales",0
"Ashford","0901501430",2013,"$400,000 and Over","Number","Number of Home Sales",0
"Avon","0900302060",2011,"Less than $100,000","Number","Number of Home Sales",0
"Avon","0900302060",2012,"Less than $100,000","Number","Number of Home Sales",0
"Avon","0900302060",2013,"Less than $100,000","Number","Number of Home Sales",-9999
"Avon","0900302060",2011,"$100,000 to $199,999","Number","Number of Home Sales",7
"Avon","0900302060",2012,"$100,000 to $199,999","Number","Number of Home Sales",5
"Avon","0900302060",2013,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Avon","0900302060",2011,"$200,000 to $299,999","Number","Number of Home Sales",31
"Avon","0900302060",2012,"$200,000 to $299,999","Number","Number of Home Sales",30
"Avon","0900302060",2013,"$200,000 to $299,999","Number","Number of Home Sales",-9999
"Avon","0900302060",2011,"$300,000 to $399,999","Number","Number of Home Sales",35
"Avon","0900302060",2012,"$300,000 to $399,999","Number","Number of Home Sales",42
"Avon","0900302060",2013,"$300,000 to $399,999","Number","Number of Home Sales",-9999
"Avon","0900302060",2011,"$400,000 and Over","Number","Number of Home Sales",125
"Avon","0900302060",2012,"$400,000 and Over","Number","Number of Home Sales",141
"Avon","0900302060",2013,"$400,000 and Over","Number","Number of Home Sales",-9999
"Barkhamsted","0900502760",2011,"Less than $100,000","Number","Number of Home Sales",0
"Barkhamsted","0900502760",2012,"Less than $100,000","Number","Number of Home Sales",0
"Barkhamsted","0900502760",2013,"Less than $100,000","Number","Number of Home Sales",-9999
"Barkhamsted","0900502760",2011,"$100,000 to $199,999","Number","Number of Home Sales",1
"Barkhamsted","0900502760",2012,"$100,000 to $199,999","Number","Number of Home Sales",9
"Barkhamsted","0900502760",2013,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Barkhamsted","0900502760",2011,"$200,000 to $299,999","Number","Number of Home Sales",8
"Barkhamsted","0900502760",2012,"$200,000 to $299,999","Number","Number of Home Sales",7
"Barkhamsted","0900502760",2013,"$200,000 to $299,999","Number","Number of Home Sales",-9999
"Barkhamsted","0900502760",2011,"$300,000 to $399,999","Number","Number of Home Sales",2
"Barkhamsted","0900502760",2012,"$300,000 to $399,999","Number","Number of Home Sales",2
"Barkhamsted","0900502760",2013,"$300,000 to $399,999","Number","Number of Home Sales",-9999
"Barkhamsted","0900502760",2011,"$400,000 and Over","Number","Number of Home Sales",1
"Barkhamsted","0900502760",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Barkhamsted","0900502760",2013,"$400,000 and Over","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2011,"Less than $100,000","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2012,"Less than $100,000","Number","Number of Home Sales",12
"Beacon Falls","0900903250",2013,"Less than $100,000","Number","Number of Home Sales",13
"Beacon Falls","0900903250",2011,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2012,"$100,000 to $199,999","Number","Number of Home Sales",7
"Beacon Falls","0900903250",2013,"$100,000 to $199,999","Number","Number of Home Sales",15
"Beacon Falls","0900903250",2011,"$200,000 to $299,999","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2012,"$200,000 to $299,999","Number","Number of Home Sales",12
"Beacon Falls","0900903250",2013,"$200,000 to $299,999","Number","Number of Home Sales",18
"Beacon Falls","0900903250",2011,"$300,000 to $399,999","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2012,"$300,000 to $399,999","Number","Number of Home Sales",13
"Beacon Falls","0900903250",2013,"$300,000 to $399,999","Number","Number of Home Sales",23
"Beacon Falls","0900903250",2011,"$400,000 and Over","Number","Number of Home Sales",-9999
"Beacon Falls","0900903250",2012,"$400,000 and Over","Number","Number of Home Sales",0
"Beacon Falls","0900903250",2013,"$400,000 and Over","Number","Number of Home Sales",0
"Berlin","0900304300",2011,"Less than $100,000","Number","Number of Home Sales",1
"Berlin","0900304300",2012,"Less than $100,000","Number","Number of Home Sales",-9999
"Berlin","0900304300",2013,"Less than $100,000","Number","Number of Home Sales",8
"Berlin","0900304300",2011,"$100,000 to $199,999","Number","Number of Home Sales",30
"Berlin","0900304300",2012,"$100,000 to $199,999","Number","Number of Home Sales",-9999
"Berlin","0900304300",2013,"$100,000 to $199,999","Number","Number of Home Sales",53
