"Town/County","FIPS","Year","Price Range","Measure Type","Variable","Value"
"Andover","0901301080","2001","Less than $100,000","Number","Number of Home Sales",0
"Ansonia","0900901220","2001","Less than $100,000","Number","Number of Home Sales",14
"Ashford","0901501430","2001","Less than $100,000","Number","Number of Home Sales",11
"Avon","0900302060","2001","Less than $100,000","Number","Number of Home Sales",3
"Barkhamsted","0900502760","2001","Less than $100,000","Number","Number of Home Sales",2
"Beacon Falls","0900903250","2001","Less than $100,000","Number","Number of Home Sales",0
"Berlin","0900304300","2001","Less than $100,000","Number","Number of Home Sales",0
"Bethany","0900904580","2001","Less than $100,000","Number","Number of Home Sales",4
"Bethel","0900104720","2001","Less than $100,000","Number","Number of Home Sales",0
"Bethlehem","0900504930","2001","Less than $100,000","Number","Number of Home Sales",8
"Bloomfield","0900305910","2001","Less than $100,000","Number","Number of Home Sales",22
"Bolton","0901306260","2001","Less than $100,000","Number","Number of Home Sales",0
"Bozrah","0901106820","2001","Less than $100,000","Number","Number of Home Sales",2
"Branford","0900907310","2001","Less than $100,000","Number","Number of Home Sales",10
"Bridgeport","0900108070","2001","Less than $100,000","Number","Number of Home Sales",129
"Bridgewater","0900508210","2001","Less than $100,000","Number","Number of Home Sales",0
"Bristol","0900308490","2001","Less than $100,000","Number","Number of Home Sales",50
"Brookfield","0900108980","2001","Less than $100,000","Number","Number of Home Sales",0
"Brooklyn","0901509190","2001","Less than $100,000","Number","Number of Home Sales",10
"Burlington","0900310100","2001","Less than $100,000","Number","Number of Home Sales",2
"Canaan","0900510940","2001","Less than $100,000","Number","Number of Home Sales",2
"Canterbury","0901512130","2001","Less than $100,000","Number","Number of Home Sales",7
"Canton","0900312270","2001","Less than $100,000","Number","Number of Home Sales",2
"Chaplin","0901513810","2001","Less than $100,000","Number","Number of Home Sales",7
"Cheshire","0900914160","2001","Less than $100,000","Number","Number of Home Sales",0
"Chester","0900714300","2001","Less than $100,000","Number","Number of Home Sales",1
"Clinton","0900715350","2001","Less than $100,000","Number","Number of Home Sales",20
"Colchester","0901115910","2001","Less than $100,000","Number","Number of Home Sales",0
"Colebrook","0900516050","2001","Less than $100,000","Number","Number of Home Sales",0
"Columbia","0901316400","2001","Less than $100,000","Number","Number of Home Sales",0
"Cornwall","0900517240","2001","Less than $100,000","Number","Number of Home Sales",0
"Coventry","0901317800","2001","Less than $100,000","Number","Number of Home Sales",30
"Cromwell","0900718080","2001","Less than $100,000","Number","Number of Home Sales",6
"Danbury","0900118500","2001","Less than $100,000","Number","Number of Home Sales",45
"Darien","0900118850","2001","Less than $100,000","Number","Number of Home Sales",0
"Deep River","0900719130","2001","Less than $100,000","Number","Number of Home Sales",0
"Derby","0900919550","2001","Less than $100,000","Number","Number of Home Sales",7
"Durham","0900720810","2001","Less than $100,000","Number","Number of Home Sales",1
"East Granby","0900322070","2001","Less than $100,000","Number","Number of Home Sales",0
"East Haddam","0900722280","2001","Less than $100,000","Number","Number of Home Sales",23
"East Hampton","0900722490","2001","Less than $100,000","Number","Number of Home Sales",10
"East Hartford","0900322630","2001","Less than $100,000","Number","Number of Home Sales",0
"East Haven","0900922910","2001","Less than $100,000","Number","Number of Home Sales",48
