"Town/County","FIPS","Year","Price Range","Measure Type","Variable","Value"
"East Lyme","0901123400","2001","Less than $100,000","Number","Number of Home Sales",0
"East Windsor","0900324800","2001","Less than $100,000","Number","Number of Home Sales",25
"Eastford","0901521860","2001","Less than $100,000","Number","Number of Home Sales",1
"Easton","0900123890","2001","Less than $100,000","Number","Number of Home Sales",0
"Ellington","0901325360","2001","Less than $100,000","Number","Number of Home Sales",8
"Enfield","0900325990","2001","Less than $100,000","Number","Number of Home Sales",0
"Essex","0900726270","2001","Less than $100,000","Number","Number of Home Sales",0
"Fairfield","0900126620","2001","Less than $100,000","Number","Number of Home Sales",0
"Farmington","0900327600","2001","Less than $100,000","Number","Number of Home Sales",6
"Franklin","0901129910","2001","Less than $100,000","Number","Number of Home Sales",1
"Glastonbury","0900331240","2001","Less than $100,000","Number","Number of Home Sales",2
"Goshen","0900532290","2001","Less than $100,000","Number","Number of Home Sales",3
"Granby","0900332640","2001","Less than $100,000","Number","Number of Home Sales",3
"Greenwich","0900133620","2001","Less than $100,000","Number","Number of Home Sales",0
"Griswold","0901133900","2001","Less than $100,000","Number","Number of Home Sales",0
"Groton","0901134250","2001","Less than $100,000","Number","Number of Home Sales",0
"Guilford","0900934950","2001","Less than $100,000","Number","Number of Home Sales",1
"Haddam","0900735230","2001","Less than $100,000","Number","Number of Home Sales",0
"Hamden","0900935650","2001","Less than $100,000","Number","Number of Home Sales",37
"Hampton","0901536000","2001","Less than $100,000","Number","Number of Home Sales",0
"Hartford","0900337070","2001","Less than $100,000","Number","Number of Home Sales",86
"Hartland","0900337140","2001","Less than $100,000","Number","Number of Home Sales",2
"Harwinton","0900537280","2001","Less than $100,000","Number","Number of Home Sales",3
"Hebron","0901337910","2001","Less than $100,000","Number","Number of Home Sales",0
"Kent","0900540290","2001","Less than $100,000","Number","Number of Home Sales",0
"Killingly","0901540500","2001","Less than $100,000","Number","Number of Home Sales",59
"Killingworth","0900740710","2001","Less than $100,000","Number","Number of Home Sales",0
"Lebanon","0901142390","2001","Less than $100,000","Number","Number of Home Sales",16
"Ledyard","0901142600","2001","Less than $100,000","Number","Number of Home Sales",0
"Lisbon","0901143230","2001","Less than $100,000","Number","Number of Home Sales",0
"Litchfield","0900543370","2001","Less than $100,000","Number","Number of Home Sales",2
"Lyme","0901144210","2001","Less than $100,000","Number","Number of Home Sales",0
"Madison","0900944560","2001","Less than $100,000","Number","Number of Home Sales",0
"Manchester","0900344700","2001","Less than $100,000","Number","Number of Home Sales",41
"Mansfield","0901344910","2001","Less than $100,000","Number","Number of Home Sales",31
"Marlborough","0900345820","2001","Less than $100,000","Number","Number of Home Sales",0
"Meriden","0900946520","2001","Less than $100,000","Number","Number of Home Sales",0
"Middlebury","0900946940","2001","Less than $100,000","Number","Number of Home Sales",0
"Middlefield","0900747080","2001","Less than $100,000","Number","Number of Home Sales",0
"Middletown","0900747360","2001","Less than $100,000","Number","Number of Home Sales",36
"Milford","0900947535","2001","Less than $100,000","Number","Number of Home Sales",13
"Monroe","0900148620","2001","Less than $100,000","Number","Number of Home Sales",1
"Montville","0901148900","2001","Less than $100,000","Number","Number of Home Sales",0
"Morris","0900549460","2001","Less than $100,000","Number","Number of Home Sales",2
"Naugatuck","0900949950","2001","Less than $100,000","Number","Number of Home Sales",53
"New Britain","0900350440","2001","Less than $100,000","Number","Number of Home Sales",128
"New Canaan","0900150580","2001","Less than $100,000","Number","Number of Home Sales",0
"New Fairfield","0900150860","2001","Less than $100,000","Number","Number of Home Sales",3
"New Hartford","0900551350","2001","Less than $100,000","Number","Number of Home Sales",3
"New Haven","0900952070","2001","Less than $100,000","Number","Number of Home Sales",0
"New London","0901152350","2001","Less than $100,000","Number","Number of Home Sales",38
"New Milford","0900552630","2001","Less than $100,000","Number","Number of Home Sales",0
"Newington","0900352140","2001","Less than $100,000","Number","Number of Home Sales",11
"Newtown","0900152980","2001","Less than $100,000","Number","Number of Home Sales",23
"Norfolk","0900553470","2001","Less than $100,000","Number","Number of Home Sales",2
"North Branford","0900953890","2001","Less than $100,000","Number","Number of Home Sales",0
"North Canaan","0900554030","2001","Less than $100,000","Number","Number of Home Sales",8
"North Haven","0900954870","2001","Less than $100,000","Number","Number of Home Sales",3
"North Stonington","0901155500","2001","Less than $100,000","Number","Number of Home Sales",5
"Norwalk","0900156060","2001","Less than $100,000","Number","Number of Home Sales",3
"Norwich","0901156270","2001","Less than $100,000","Number","Number of Home Sales",121
"Old Lyme","0901157040","2001","Less than $100,000","Number","Number of Home Sales",4
"Old Saybrook","0900757320","2001","Less than $100,000","Number","Number of Home Sales",2
"Orange","0900957600","2001","Less than $100,000","Number","Number of Home Sales",0
"Oxford","0900958300","2001","Less than $100,000","Number","Number of Home Sales",3
"Plainfield","0901559980","2001","Less than $100,000","Number","Number of Home Sales",46
"Plainville","0900360120","2001","Less than $100,000","Number","Number of Home Sales",22
"Plymouth","0900560750","2001","Less than $100,000","Number","Number of Home Sales",0
"Pomfret","0901561030","2001","Less than $100,000","Number","Number of Home Sales",3
"Portland","0900761800","2001","Less than $100,000","Number","Number of Home Sales",0
"Preston","0901162150","2001","Less than $100,000","Number","Number of Home Sales",5
"Prospect","0900962290","2001","Less than $100,000","Number","Number of Home Sales",13
"Putnam","0901562710","2001","Less than $100,000","Number","Number of Home Sales",14
"Redding","0900163480","2001","Less than $100,000","Number","Number of Home Sales",0
"Ridgefield","0900163970","2001","Less than $100,000","Number","Number of Home Sales",2
"Rocky Hill","0900365370","2001","Less than $100,000","Number","Number of Home Sales",4
"Roxbury","0900565930","2001","Less than $100,000","Number","Number of Home Sales",0
"Salem","0901166210","2001","Less than $100,000","Number","Number of Home Sales",0
"Salisbury","0900566420","2001","Less than $100,000","Number","Number of Home Sales",2
"Scotland","0901567400","2001","Less than $100,000","Number","Number of Home Sales",0
"Seymour","0900967610","2001","Less than $100,000","Number","Number of Home Sales",0
"Sharon","0900567960","2001","Less than $100,000","Number","Number of Home Sales",7
"Shelton","0900168170","2001","Less than $100,000","Number","Number of Home Sales",0
"Sherman","0900168310","2001","Less than $100,000","Number","Number of Home Sales",2
"Simsbury","0900368940","2001","Less than $100,000","Number","Number of Home Sales",4
"Somers","0901369220","2001","Less than $100,000","Number","Number of Home Sales",4
"South Windsor","0900371390","2001","Less than $100,000","Number","Number of Home Sales",7
"Southbury","0900969640","2001","Less than $100,000","Number","Number of Home Sales",5
"Southington","0900370550","2001","Less than $100,000","Number","Number of Home Sales",0
"Sprague","0901171670","2001","Less than $100,000","Number","Number of Home Sales",3
"Stafford","0901372090","2001","Less than $100,000","Number","Number of Home Sales",16
"Stamford","0900173070","2001","Less than $100,000","Number","Number of Home Sales",3
"Sterling","0901573420","2001","Less than $100,000","Number","Number of Home Sales",7
"Stonington","0901173770","2001","Less than $100,000","Number","Number of Home Sales",23
"Stratford","0900174190","2001","Less than $100,000","Number","Number of Home Sales",22
"Suffield","0900374540","2001","Less than $100,000","Number","Number of Home Sales",5
"Thomaston","0900575730","2001","Less than $100,000","Number","Number of Home Sales",7
"Thompson","0901575870","2001","Less than $100,000","Number","Number of Home Sales",25
"Tolland","0901376290","2001","Less than $100,000","Number","Number of Home Sales",0
"Torrington","0900576570","2001","Less than $100,000","Number","Number of Home Sales",48
"Trumbull","0900177200","2001","Less than $100,000","Number","Number of Home Sales",0
"Union","0901377830","2001","Less than $100,000","Number","Number of Home Sales",1
"Vernon","0901378250","2001","Less than $100,000","Number","Number of Home Sales",36
"Voluntown","0901178600","2001","Less than $100,000","Number","Number of Home Sales",0
"Wallingford","0900978740","2001","Less than $100,000","Number","Number of Home Sales",0
"Warren","0900579510","2001","Less than $100,000","Number","Number of Home Sales",0
"Washington","0900579720","2001","Less than $100,000","Number","Number of Home Sales",1
"Waterbury","0900980070","2001","Less than $100,000","Number","Number of Home Sales",0
"Waterford","0901180280","2001","Less than $100,000","Number","Number of Home Sales",8
"Watertown","0900580490","2001","Less than $100,000","Number","Number of Home Sales",6
"West Hartford","0900382590","2001","Less than $100,000","Number","Number of Home Sales",10
"West Haven","0900982870","2001","Less than $100,000","Number","Number of Home Sales",53
"Westbrook","0900781680","2001","Less than $100,000","Number","Number of Home Sales",0
"Weston","0900183430","2001","Less than $100,000","Number","Number of Home Sales",0
"Westport","0900183500","2001","Less than $100,000","Number","Number of Home Sales",0
"Wethersfield","0900384900","2001","Less than $100,000","Number","Number of Home Sales",1
"Willington","0901385950","2001","Less than $100,000","Number","Number of Home Sales",2
"Wilton","0900186370","2001","Less than $100,000","Number","Number of Home Sales",0
"Winchester","0900586440","2001","Less than $100,000","Number","Number of Home Sales",44
"Windham","0901586790","2001","Less than $100,000","Number","Number of Home Sales",0
"Windsor","0900387000","2001","Less than $100,000","Number","Number of Home Sales",26
"Windsor Locks","0900387070","2001","Less than $100,000","Number","Number of Home Sales",10
"Wolcott","0900987560","2001","Less than $100,000","Number","Number of Home Sales",0
"Woodbridge","0900987700","2001","Less than $100,000","Number","Number of Home Sales",0
"Woodbury","0900587910","2001","Less than $100,000","Number","Number of Home Sales",0
"Woodstock","0901588190","2001","Less than $100,000","Number","Number of Home Sales",14
"Andover","0901301080","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Ansonia","0900901220","2001","$100,000 to $199,999","Number","Number of Home Sales",126
"Ashford","0901501430","2001","$100,000 to $199,999","Number","Number of Home Sales",42
"Avon","0900302060","2001","$100,000 to $199,999","Number","Number of Home Sales",35
"Barkhamsted","0900502760","2001","$100,000 to $199,999","Number","Number of Home Sales",26
"Beacon Falls","0900903250","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Berlin","0900304300","2001","$100,000 to $199,999","Number","Number of Home Sales",114
"Bethany","0900904580","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"Bethel","0900104720","2001","$100,000 to $199,999","Number","Number of Home Sales",32
"Bethlehem","0900504930","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"Bloomfield","0900305910","2001","$100,000 to $199,999","Number","Number of Home Sales",171
"Bolton","0901306260","2001","$100,000 to $199,999","Number","Number of Home Sales",25
"Bozrah","0901106820","2001","$100,000 to $199,999","Number","Number of Home Sales",10
"Branford","0900907310","2001","$100,000 to $199,999","Number","Number of Home Sales",51
"Bridgeport","0900108070","2001","$100,000 to $199,999","Number","Number of Home Sales",621
"Bridgewater","0900508210","2001","$100,000 to $199,999","Number","Number of Home Sales",5
"Bristol","0900308490","2001","$100,000 to $199,999","Number","Number of Home Sales",519
"Brookfield","0900108980","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Brooklyn","0901509190","2001","$100,000 to $199,999","Number","Number of Home Sales",75
"Burlington","0900310100","2001","$100,000 to $199,999","Number","Number of Home Sales",36
"Canaan","0900510940","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"Canterbury","0901512130","2001","$100,000 to $199,999","Number","Number of Home Sales",30
"Canton","0900312270","2001","$100,000 to $199,999","Number","Number of Home Sales",47
"Chaplin","0901513810","2001","$100,000 to $199,999","Number","Number of Home Sales",21
"Cheshire","0900914160","2001","$100,000 to $199,999","Number","Number of Home Sales",91
"Chester","0900714300","2001","$100,000 to $199,999","Number","Number of Home Sales",21
"Clinton","0900715350","2001","$100,000 to $199,999","Number","Number of Home Sales",76
"Colchester","0901115910","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Colebrook","0900516050","2001","$100,000 to $199,999","Number","Number of Home Sales",13
"Columbia","0901316400","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Cornwall","0900517240","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Coventry","0901317800","2001","$100,000 to $199,999","Number","Number of Home Sales",88
"Cromwell","0900718080","2001","$100,000 to $199,999","Number","Number of Home Sales",81
"Danbury","0900118500","2001","$100,000 to $199,999","Number","Number of Home Sales",131
"Darien","0900118850","2001","$100,000 to $199,999","Number","Number of Home Sales",1
"Deep River","0900719130","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Derby","0900919550","2001","$100,000 to $199,999","Number","Number of Home Sales",52
"Durham","0900720810","2001","$100,000 to $199,999","Number","Number of Home Sales",27
"East Granby","0900322070","2001","$100,000 to $199,999","Number","Number of Home Sales",32
"East Haddam","0900722280","2001","$100,000 to $199,999","Number","Number of Home Sales",79
"East Hampton","0900722490","2001","$100,000 to $199,999","Number","Number of Home Sales",102
"East Hartford","0900322630","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"East Haven","0900922910","2001","$100,000 to $199,999","Number","Number of Home Sales",284
"East Lyme","0901123400","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"East Windsor","0900324800","2001","$100,000 to $199,999","Number","Number of Home Sales",42
"Eastford","0901521860","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"Easton","0900123890","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Ellington","0901325360","2001","$100,000 to $199,999","Number","Number of Home Sales",66
"Enfield","0900325990","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Essex","0900726270","2001","$100,000 to $199,999","Number","Number of Home Sales",17
"Fairfield","0900126620","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Farmington","0900327600","2001","$100,000 to $199,999","Number","Number of Home Sales",85
"Franklin","0901129910","2001","$100,000 to $199,999","Number","Number of Home Sales",13
"Glastonbury","0900331240","2001","$100,000 to $199,999","Number","Number of Home Sales",85
"Goshen","0900532290","2001","$100,000 to $199,999","Number","Number of Home Sales",13
"Granby","0900332640","2001","$100,000 to $199,999","Number","Number of Home Sales",40
"Greenwich","0900133620","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Griswold","0901133900","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Groton","0901134250","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Guilford","0900934950","2001","$100,000 to $199,999","Number","Number of Home Sales",46
"Haddam","0900735230","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Hamden","0900935650","2001","$100,000 to $199,999","Number","Number of Home Sales",435
"Hampton","0901536000","2001","$100,000 to $199,999","Number","Number of Home Sales",13
"Hartford","0900337070","2001","$100,000 to $199,999","Number","Number of Home Sales",160
"Hartland","0900337140","2001","$100,000 to $199,999","Number","Number of Home Sales",10
"Harwinton","0900537280","2001","$100,000 to $199,999","Number","Number of Home Sales",34
"Hebron","0901337910","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Kent","0900540290","2001","$100,000 to $199,999","Number","Number of Home Sales",2
"Killingly","0901540500","2001","$100,000 to $199,999","Number","Number of Home Sales",127
"Killingworth","0900740710","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Lebanon","0901142390","2001","$100,000 to $199,999","Number","Number of Home Sales",51
"Ledyard","0901142600","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Lisbon","0901143230","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Litchfield","0900543370","2001","$100,000 to $199,999","Number","Number of Home Sales",31
"Lyme","0901144210","2001","$100,000 to $199,999","Number","Number of Home Sales",7
"Madison","0900944560","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"Manchester","0900344700","2001","$100,000 to $199,999","Number","Number of Home Sales",456
"Mansfield","0901344910","2001","$100,000 to $199,999","Number","Number of Home Sales",60
"Marlborough","0900345820","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Meriden","0900946520","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Middlebury","0900946940","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Middlefield","0900747080","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Middletown","0900747360","2001","$100,000 to $199,999","Number","Number of Home Sales",223
"Milford","0900947535","2001","$100,000 to $199,999","Number","Number of Home Sales",283
"Monroe","0900148620","2001","$100,000 to $199,999","Number","Number of Home Sales",10
"Montville","0901148900","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Morris","0900549460","2001","$100,000 to $199,999","Number","Number of Home Sales",7
"Naugatuck","0900949950","2001","$100,000 to $199,999","Number","Number of Home Sales",283
"New Britain","0900350440","2001","$100,000 to $199,999","Number","Number of Home Sales",250
"New Canaan","0900150580","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"New Fairfield","0900150860","2001","$100,000 to $199,999","Number","Number of Home Sales",42
"New Hartford","0900551350","2001","$100,000 to $199,999","Number","Number of Home Sales",11
"New Haven","0900952070","2001","$100,000 to $199,999","Number","Number of Home Sales",1
"New London","0901152350","2001","$100,000 to $199,999","Number","Number of Home Sales",111
"New Milford","0900552630","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Newington","0900352140","2001","$100,000 to $199,999","Number","Number of Home Sales",258
"Newtown","0900152980","2001","$100,000 to $199,999","Number","Number of Home Sales",39
"Norfolk","0900553470","2001","$100,000 to $199,999","Number","Number of Home Sales",15
"North Branford","0900953890","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"North Canaan","0900554030","2001","$100,000 to $199,999","Number","Number of Home Sales",30
"North Haven","0900954870","2001","$100,000 to $199,999","Number","Number of Home Sales",128
"North Stonington","0901155500","2001","$100,000 to $199,999","Number","Number of Home Sales",23
"Norwalk","0900156060","2001","$100,000 to $199,999","Number","Number of Home Sales",37
"Norwich","0901156270","2001","$100,000 to $199,999","Number","Number of Home Sales",303
"Old Lyme","0901157040","2001","$100,000 to $199,999","Number","Number of Home Sales",45
"Old Saybrook","0900757320","2001","$100,000 to $199,999","Number","Number of Home Sales",43
"Orange","0900957600","2001","$100,000 to $199,999","Number","Number of Home Sales",3
"Oxford","0900958300","2001","$100,000 to $199,999","Number","Number of Home Sales",19
"Plainfield","0901559980","2001","$100,000 to $199,999","Number","Number of Home Sales",118
"Plainville","0900360120","2001","$100,000 to $199,999","Number","Number of Home Sales",146
"Plymouth","0900560750","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Pomfret","0901561030","2001","$100,000 to $199,999","Number","Number of Home Sales",18
"Portland","0900761800","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Preston","0901162150","2001","$100,000 to $199,999","Number","Number of Home Sales",27
"Prospect","0900962290","2001","$100,000 to $199,999","Number","Number of Home Sales",41
"Putnam","0901562710","2001","$100,000 to $199,999","Number","Number of Home Sales",56
"Redding","0900163480","2001","$100,000 to $199,999","Number","Number of Home Sales",2
"Ridgefield","0900163970","2001","$100,000 to $199,999","Number","Number of Home Sales",39
"Rocky Hill","0900365370","2001","$100,000 to $199,999","Number","Number of Home Sales",71
"Roxbury","0900565930","2001","$100,000 to $199,999","Number","Number of Home Sales",2
"Salem","0901166210","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Salisbury","0900566420","2001","$100,000 to $199,999","Number","Number of Home Sales",24
"Scotland","0901567400","2001","$100,000 to $199,999","Number","Number of Home Sales",17
"Seymour","0900967610","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Sharon","0900567960","2001","$100,000 to $199,999","Number","Number of Home Sales",17
"Shelton","0900168170","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Sherman","0900168310","2001","$100,000 to $199,999","Number","Number of Home Sales",7
"Simsbury","0900368940","2001","$100,000 to $199,999","Number","Number of Home Sales",72
"Somers","0901369220","2001","$100,000 to $199,999","Number","Number of Home Sales",32
"South Windsor","0900371390","2001","$100,000 to $199,999","Number","Number of Home Sales",128
"Southbury","0900969640","2001","$100,000 to $199,999","Number","Number of Home Sales",34
"Southington","0900370550","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Sprague","0901171670","2001","$100,000 to $199,999","Number","Number of Home Sales",18
"Stafford","0901372090","2001","$100,000 to $199,999","Number","Number of Home Sales",95
"Stamford","0900173070","2001","$100,000 to $199,999","Number","Number of Home Sales",26
"Sterling","0901573420","2001","$100,000 to $199,999","Number","Number of Home Sales",31
"Stonington","0901173770","2001","$100,000 to $199,999","Number","Number of Home Sales",87
"Stratford","0900174190","2001","$100,000 to $199,999","Number","Number of Home Sales",259
"Suffield","0900374540","2001","$100,000 to $199,999","Number","Number of Home Sales",58
"Thomaston","0900575730","2001","$100,000 to $199,999","Number","Number of Home Sales",55
"Thompson","0901575870","2001","$100,000 to $199,999","Number","Number of Home Sales",58
"Tolland","0901376290","2001","$100,000 to $199,999","Number","Number of Home Sales",90
"Torrington","0900576570","2001","$100,000 to $199,999","Number","Number of Home Sales",280
"Trumbull","0900177200","2001","$100,000 to $199,999","Number","Number of Home Sales",8
"Union","0901377830","2001","$100,000 to $199,999","Number","Number of Home Sales",3
"Vernon","0901378250","2001","$100,000 to $199,999","Number","Number of Home Sales",167
"Voluntown","0901178600","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Wallingford","0900978740","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Warren","0900579510","2001","$100,000 to $199,999","Number","Number of Home Sales",3
"Washington","0900579720","2001","$100,000 to $199,999","Number","Number of Home Sales",10
"Waterbury","0900980070","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Waterford","0901180280","2001","$100,000 to $199,999","Number","Number of Home Sales",151
"Watertown","0900580490","2001","$100,000 to $199,999","Number","Number of Home Sales",158
"West Hartford","0900382590","2001","$100,000 to $199,999","Number","Number of Home Sales",374
"West Haven","0900982870","2001","$100,000 to $199,999","Number","Number of Home Sales",415
"Westbrook","0900781680","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Weston","0900183430","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Westport","0900183500","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Wethersfield","0900384900","2001","$100,000 to $199,999","Number","Number of Home Sales",237
"Willington","0901385950","2001","$100,000 to $199,999","Number","Number of Home Sales",35
"Wilton","0900186370","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Winchester","0900586440","2001","$100,000 to $199,999","Number","Number of Home Sales",89
"Windham","0901586790","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Windsor","0900387000","2001","$100,000 to $199,999","Number","Number of Home Sales",290
"Windsor Locks","0900387070","2001","$100,000 to $199,999","Number","Number of Home Sales",128
"Wolcott","0900987560","2001","$100,000 to $199,999","Number","Number of Home Sales",0
"Woodbridge","0900987700","2001","$100,000 to $199,999","Number","Number of Home Sales",16
"Woodbury","0900587910","2001","$100,000 to $199,999","Number","Number of Home Sales",20
"Woodstock","0901588190","2001","$100,000 to $199,999","Number","Number of Home Sales",60
"Andover","0901301080","2001","$200,000 to $299,000","Number","Number of Home Sales",0
"Ansonia","0900901220","2001","$200,000 to $299,000","Number","Number of Home Sales",28
"Ashford","0901501430","2001","$200,000 to $299,000","Number","Number of Home Sales",10
"Avon","0900302060","2001","$200,000 to $299,000","Number","Number of Home Sales",52
"Barkhamsted","0900502760","2001","$200,000 to $299,000","Number","Number of Home Sales",16
"Beacon Falls","0900903250","2001","$200,000 to $299,000","Number","Number of Home Sales",0
"Berlin","0900304300","2001","$200,000 to $299,000","Number","Number of Home Sales",79
"Bethany","0900904580","2001","$200,000 to $299,000","Number","Number of Home Sales",29
"Bethel","0900104720","2001","$200,000 to $299,000","Number","Number of Home Sales",120
"Bethlehem","0900504930","2001","$200,000 to $299,000","Number","Number of Home Sales",6
"Bloomfield","0900305910","2001","$200,000 to $299,000","Number","Number of Home Sales",47
"Bolton","0901306260","2001","$200,000 to $299,000","Number","Number of Home Sales",23
"Bozrah","0901106820","2001","$200,000 to $299,000","Number","Number of Home Sales",5
"Branford","0900907310","2001","$200,000 to $299,000","Number","Number of Home Sales",92
"Bridgeport","0900108070","2001","$200,000 to $299,000","Number","Number of Home Sales",143
"Bridgewater","0900508210","2001","$200,000 to $299,000","Number","Number of Home Sales",2
"Bristol","0900308490","2001","$200,000 to $299,000","Number","Number of Home Sales",89
"Brookfield","0900108980","2001","$200,000 to $299,000","Number","Number of Home Sales",0
"Brooklyn","0901509190","2001","$200,000 to $299,000","Number","Number of Home Sales",21
"Burlington","0900310100","2001","$200,000 to $299,000","Number","Number of Home Sales",45
"Canaan","0900510940","2001","$200,000 to $299,000","Number","Number of Home Sales",5
"Canterbury","0901512130","2001","$200,000 to $299,000","Number","Number of Home Sales",5
"Canton","0900312270","2001","$200,000 to $299,000","Number","Number of Home Sales",44
"Chaplin","0901513810","2001","$200,000 to $299,000","Number","Number of Home Sales",0
"Cheshire","0900914160","2001","$200,000 to $299,000","Number","Number of Home Sales",136
"Chester","0900714300","2001","$200,000 to $299,000","Number","Number of Home Sales",17
"Clinton","0900715350","2001","$200,000 to $299,000","Number","Number of Home Sales",81
"Colchester","0901115910","2001","$200,000 to $299,000","Number","Number of Home Sales",0
"Colebrook","0900516050","2001","$200,000 to $299,000","Number","Number of Home Sales",9
