"Town/County","FIPS","Year","Price Range","Measure Type","Variable","Value"
"Andover","901301080",2011,"$100,000 to $199,999","Number","Number of Home Sales",1
"Andover","901301080",2011,"$200,000 to $299,999","Number","Number of Home Sales",2
"Andover","901301080",2011,"$400,000 and Over","Number","Number of Home Sales",1
"Andover","901301080",2012,"Less than $100,000","Number","Number of Home Sales",1
"Andover","901301080",2012,"$100,000 to $199,999","Number","Number of Home Sales",3
"Andover","901301080",2012,"$200,000 to $299,999","Number","Number of Home Sales",13
"Andover","901301080",2012,"$300,000 to $399,999","Number","Number of Home Sales",6
"Andover","901301080",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Andover","901301080",2013,"Less than $100,000","Number","Number of Home Sales",4
"Andover","901301080",2013,"$100,000 to $199,999","Number","Number of Home Sales",9
"Andover","901301080",2013,"$200,000 to $299,999","Number","Number of Home Sales",9
"Andover","901301080",2013,"$300,000 to $399,999","Number","Number of Home Sales",3
"Andover","901301080",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Ansonia","900901220",2011,"$100,000 to $199,999","Number","Number of Home Sales",37
"Ansonia","900901220",2011,"$200,000 to $299,999","Number","Number of Home Sales",25
"Ansonia","900901220",2011,"$300,000 to $399,999","Number","Number of Home Sales",3
"Ansonia","900901220",2013,"Less than $100,000","Number","Number of Home Sales",23
"Ansonia","900901220",2013,"$100,000 to $199,999","Number","Number of Home Sales",68
"Ansonia","900901220",2013,"$200,000 to $299,999","Number","Number of Home Sales",41
"Ansonia","900901220",2013,"$300,000 to $399,999","Number","Number of Home Sales",2
"Ansonia","900901220",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Ashford","901501430",2012,"Less than $100,000","Number","Number of Home Sales",4
"Ashford","901501430",2012,"$100,000 to $199,999","Number","Number of Home Sales",13
"Ashford","901501430",2012,"$200,000 to $299,999","Number","Number of Home Sales",8
"Ashford","901501430",2012,"$300,000 to $399,999","Number","Number of Home Sales",3
"Ashford","901501430",2013,"Less than $100,000","Number","Number of Home Sales",7
"Ashford","901501430",2013,"$100,000 to $199,999","Number","Number of Home Sales",20
"Ashford","901501430",2013,"$200,000 to $299,999","Number","Number of Home Sales",12
"Ashford","901501430",2013,"$300,000 to $399,999","Number","Number of Home Sales",3
"Avon","900302060",2011,"$100,000 to $199,999","Number","Number of Home Sales",7
"Avon","900302060",2011,"$200,000 to $299,999","Number","Number of Home Sales",31
"Avon","900302060",2011,"$300,000 to $399,999","Number","Number of Home Sales",35
"Avon","900302060",2011,"$400,000 and Over","Number","Number of Home Sales",125
"Avon","900302060",2012,"$100,000 to $199,999","Number","Number of Home Sales",5
"Avon","900302060",2012,"$200,000 to $299,999","Number","Number of Home Sales",30
"Avon","900302060",2012,"$300,000 to $399,999","Number","Number of Home Sales",42
"Avon","900302060",2012,"$400,000 and Over","Number","Number of Home Sales",141
"Barkhamsted","900502760",2011,"$100,000 to $199,999","Number","Number of Home Sales",1
"Barkhamsted","900502760",2011,"$200,000 to $299,999","Number","Number of Home Sales",8
"Barkhamsted","900502760",2011,"$300,000 to $399,999","Number","Number of Home Sales",2
"Barkhamsted","900502760",2011,"$400,000 and Over","Number","Number of Home Sales",1
"Barkhamsted","900502760",2012,"$100,000 to $199,999","Number","Number of Home Sales",9
"Barkhamsted","900502760",2012,"$200,000 to $299,999","Number","Number of Home Sales",7
"Barkhamsted","900502760",2012,"$300,000 to $399,999","Number","Number of Home Sales",2
"Barkhamsted","900502760",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Beacon Falls","900903250",2012,"Less than $100,000","Number","Number of Home Sales",12
"Beacon Falls","900903250",2012,"$100,000 to $199,999","Number","Number of Home Sales",7
"Beacon Falls","900903250",2012,"$200,000 to $299,999","Number","Number of Home Sales",12
"Beacon Falls","900903250",2012,"$300,000 to $399,999","Number","Number of Home Sales",13
"Beacon Falls","900903250",2013,"Less than $100,000","Number","Number of Home Sales",13
"Beacon Falls","900903250",2013,"$100,000 to $199,999","Number","Number of Home Sales",15
"Beacon Falls","900903250",2013,"$200,000 to $299,999","Number","Number of Home Sales",18
"Beacon Falls","900903250",2013,"$300,000 to $399,999","Number","Number of Home Sales",23
"Berlin","900304300",2011,"Less than $100,000","Number","Number of Home Sales",1
"Berlin","900304300",2011,"$100,000 to $199,999","Number","Number of Home Sales",30
"Berlin","900304300",2011,"$200,000 to $299,999","Number","Number of Home Sales",71
"Berlin","900304300",2011,"$300,000 to $399,999","Number","Number of Home Sales",28
"Berlin","900304300",2011,"$400,000 and Over","Number","Number of Home Sales",18
"Berlin","900304300",2013,"Less than $100,000","Number","Number of Home Sales",8
"Berlin","900304300",2013,"$100,000 to $199,999","Number","Number of Home Sales",53
"Berlin","900304300",2013,"$200,000 to $299,999","Number","Number of Home Sales",90
"Berlin","900304300",2013,"$300,000 to $399,999","Number","Number of Home Sales",32
"Berlin","900304300",2013,"$400,000 and Over","Number","Number of Home Sales",27
"Bethany","900904580",2011,"Less than $100,000","Number","Number of Home Sales",3
"Bethany","900904580",2011,"$100,000 to $199,999","Number","Number of Home Sales",3
"Bethany","900904580",2011,"$200,000 to $299,999","Number","Number of Home Sales",9
"Bethany","900904580",2011,"$300,000 to $399,999","Number","Number of Home Sales",10
"Bethany","900904580",2011,"$400,000 and Over","Number","Number of Home Sales",15
"Bethany","900904580",2012,"Less than $100,000","Number","Number of Home Sales",2
"Bethany","900904580",2012,"$100,000 to $199,999","Number","Number of Home Sales",4
"Bethany","900904580",2012,"$200,000 to $299,999","Number","Number of Home Sales",18
