"Town/County","FIPS","Year","Price Range","Measure Type","Variable","Value"
"Bethany","900904580",2012,"$300,000 to $399,999","Number","Number of Home Sales",19
"Bethany","900904580",2012,"$400,000 and Over","Number","Number of Home Sales",14
"Bethel","900104720",2011,"$100,000 to $199,999","Number","Number of Home Sales",6
"Bethel","900104720",2011,"$200,000 to $299,999","Number","Number of Home Sales",21
"Bethel","900104720",2011,"$300,000 to $399,999","Number","Number of Home Sales",23
"Bethel","900104720",2011,"$400,000 and Over","Number","Number of Home Sales",22
"Bethel","900104720",2013,"Less than $100,000","Number","Number of Home Sales",4
"Bethel","900104720",2013,"$100,000 to $199,999","Number","Number of Home Sales",27
"Bethel","900104720",2013,"$200,000 to $299,999","Number","Number of Home Sales",60
"Bethel","900104720",2013,"$300,000 to $399,999","Number","Number of Home Sales",40
"Bethel","900104720",2013,"$400,000 and Over","Number","Number of Home Sales",31
"Bethlehem","900504930",2011,"$100,000 to $199,999","Number","Number of Home Sales",2
"Bethlehem","900504930",2011,"$200,000 to $299,999","Number","Number of Home Sales",2
"Bethlehem","900504930",2011,"$300,000 to $399,999","Number","Number of Home Sales",5
"Bethlehem","900504930",2011,"$400,000 and Over","Number","Number of Home Sales",4
"Bethlehem","900504930",2012,"$100,000 to $199,999","Number","Number of Home Sales",1
"Bethlehem","900504930",2012,"$200,000 to $299,999","Number","Number of Home Sales",13
"Bethlehem","900504930",2012,"$300,000 to $399,999","Number","Number of Home Sales",4
"Bethlehem","900504930",2012,"$400,000 and Over","Number","Number of Home Sales",3
"Bloomfield","900305910",2011,"Less than $100,000","Number","Number of Home Sales",4
"Bloomfield","900305910",2011,"$100,000 to $199,999","Number","Number of Home Sales",72
"Bloomfield","900305910",2011,"$200,000 to $299,999","Number","Number of Home Sales",36
"Bloomfield","900305910",2011,"$300,000 to $399,999","Number","Number of Home Sales",14
"Bloomfield","900305910",2011,"$400,000 and Over","Number","Number of Home Sales",17
"Bloomfield","900305910",2012,"Less than $100,000","Number","Number of Home Sales",6
"Bloomfield","900305910",2012,"$100,000 to $199,999","Number","Number of Home Sales",83
"Bloomfield","900305910",2012,"$200,000 to $299,999","Number","Number of Home Sales",39
"Bloomfield","900305910",2012,"$300,000 to $399,999","Number","Number of Home Sales",15
"Bloomfield","900305910",2012,"$400,000 and Over","Number","Number of Home Sales",22
"Bloomfield","900305910",2013,"Less than $100,000","Number","Number of Home Sales",37
"Bloomfield","900305910",2013,"$100,000 to $199,999","Number","Number of Home Sales",93
"Bloomfield","900305910",2013,"$200,000 to $299,999","Number","Number of Home Sales",41
"Bloomfield","900305910",2013,"$300,000 to $399,999","Number","Number of Home Sales",17
"Bloomfield","900305910",2013,"$400,000 and Over","Number","Number of Home Sales",17
"Bolton","901306260",2011,"$100,000 to $199,999","Number","Number of Home Sales",10
"Bolton","901306260",2011,"$200,000 to $299,999","Number","Number of Home Sales",19
"Bolton","901306260",2011,"$300,000 to $399,999","Number","Number of Home Sales",4
"Bolton","901306260",2011,"$400,000 and Over","Number","Number of Home Sales",4
"Bolton","901306260",2012,"$100,000 to $199,999","Number","Number of Home Sales",7
"Bolton","901306260",2012,"$200,000 to $299,999","Number","Number of Home Sales",13
"Bolton","901306260",2012,"$300,000 to $399,999","Number","Number of Home Sales",10
"Bolton","901306260",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Bolton","901306260",2013,"Less than $100,000","Number","Number of Home Sales",5
"Bolton","901306260",2013,"$100,000 to $199,999","Number","Number of Home Sales",17
"Bolton","901306260",2013,"$200,000 to $299,999","Number","Number of Home Sales",29
"Bolton","901306260",2013,"$300,000 to $399,999","Number","Number of Home Sales",10
"Bolton","901306260",2013,"$400,000 and Over","Number","Number of Home Sales",12
"Bozrah","901106820",2011,"$100,000 to $199,999","Number","Number of Home Sales",2
"Bozrah","901106820",2011,"$200,000 to $299,999","Number","Number of Home Sales",11
"Bozrah","901106820",2013,"Less than $100,000","Number","Number of Home Sales",6
"Bozrah","901106820",2013,"$100,000 to $199,999","Number","Number of Home Sales",8
"Bozrah","901106820",2013,"$200,000 to $299,999","Number","Number of Home Sales",10
"Branford","900907310",2011,"Less than $100,000","Number","Number of Home Sales",5
"Branford","900907310",2011,"$100,000 to $199,999","Number","Number of Home Sales",4
"Branford","900907310",2011,"$200,000 to $299,999","Number","Number of Home Sales",32
"Branford","900907310",2011,"$300,000 to $399,999","Number","Number of Home Sales",19
"Branford","900907310",2011,"$400,000 and Over","Number","Number of Home Sales",29
"Branford","900907310",2012,"Less than $100,000","Number","Number of Home Sales",4
"Branford","900907310",2012,"$100,000 to $199,999","Number","Number of Home Sales",7
"Branford","900907310",2012,"$200,000 to $299,999","Number","Number of Home Sales",31
"Branford","900907310",2012,"$300,000 to $399,999","Number","Number of Home Sales",35
"Branford","900907310",2012,"$400,000 and Over","Number","Number of Home Sales",34
"Branford","900907310",2013,"Less than $100,000","Number","Number of Home Sales",16
"Branford","900907310",2013,"$100,000 to $199,999","Number","Number of Home Sales",30
"Branford","900907310",2013,"$200,000 to $299,999","Number","Number of Home Sales",72
"Branford","900907310",2013,"$300,000 to $399,999","Number","Number of Home Sales",56
"Branford","900907310",2013,"$400,000 and Over","Number","Number of Home Sales",56
"Bridgeport","900108070",2011,"Less than $100,000","Number","Number of Home Sales",18
"Bridgeport","900108070",2011,"$100,000 to $199,999","Number","Number of Home Sales",178
"Bridgeport","900108070",2011,"$200,000 to $299,999","Number","Number of Home Sales",42
"Bridgeport","900108070",2011,"$300,000 to $399,999","Number","Number of Home Sales",3
"Bridgeport","900108070",2011,"$400,000 and Over","Number","Number of Home Sales",3
"Bridgeport","900108070",2012,"Less than $100,000","Number","Number of Home Sales",29
"Bridgeport","900108070",2012,"$100,000 to $199,999","Number","Number of Home Sales",198
"Bridgeport","900108070",2012,"$200,000 to $299,999","Number","Number of Home Sales",62
"Bridgeport","900108070",2012,"$300,000 to $399,999","Number","Number of Home Sales",14
"Bridgeport","900108070",2012,"$400,000 and Over","Number","Number of Home Sales",5
"Bridgeport","900108070",2013,"Less than $100,000","Number","Number of Home Sales",264
"Bridgeport","900108070",2013,"$100,000 to $199,999","Number","Number of Home Sales",356
"Bridgeport","900108070",2013,"$200,000 to $299,999","Number","Number of Home Sales",85
"Bridgeport","900108070",2013,"$300,000 to $399,999","Number","Number of Home Sales",9
"Bridgeport","900108070",2013,"$400,000 and Over","Number","Number of Home Sales",11
"Bridgewater","900508210",2011,"$400,000 and Over","Number","Number of Home Sales",2
"Bridgewater","900508210",2012,"$200,000 to $299,999","Number","Number of Home Sales",2
"Bridgewater","900508210",2012,"$300,000 to $399,999","Number","Number of Home Sales",3
"Bridgewater","900508210",2012,"$400,000 and Over","Number","Number of Home Sales",6
"Bridgewater","900508210",2013,"$100,000 to $199,999","Number","Number of Home Sales",3
"Bridgewater","900508210",2013,"$200,000 to $299,999","Number","Number of Home Sales",6
"Bridgewater","900508210",2013,"$300,000 to $399,999","Number","Number of Home Sales",7
"Bridgewater","900508210",2013,"$400,000 and Over","Number","Number of Home Sales",11
"Bristol","900308490",2011,"Less than $100,000","Number","Number of Home Sales",3
"Bristol","900308490",2011,"$100,000 to $199,999","Number","Number of Home Sales",170
"Bristol","900308490",2011,"$200,000 to $299,999","Number","Number of Home Sales",94
"Bristol","900308490",2011,"$300,000 to $399,999","Number","Number of Home Sales",14
"Bristol","900308490",2011,"$400,000 and Over","Number","Number of Home Sales",6
"Bristol","900308490",2013,"Less than $100,000","Number","Number of Home Sales",79
"Bristol","900308490",2013,"$100,000 to $199,999","Number","Number of Home Sales",270
"Bristol","900308490",2013,"$200,000 to $299,999","Number","Number of Home Sales",111
"Bristol","900308490",2013,"$300,000 to $399,999","Number","Number of Home Sales",25
"Bristol","900308490",2013,"$400,000 and Over","Number","Number of Home Sales",13
"Brookfield","900108980",2012,"Less than $100,000","Number","Number of Home Sales",1
"Brookfield","900108980",2012,"$100,000 to $199,999","Number","Number of Home Sales",3
"Brookfield","900108980",2012,"$200,000 to $299,999","Number","Number of Home Sales",39
"Brookfield","900108980",2012,"$300,000 to $399,999","Number","Number of Home Sales",40
"Brookfield","900108980",2012,"$400,000 and Over","Number","Number of Home Sales",57
"Brookfield","900108980",2013,"Less than $100,000","Number","Number of Home Sales",4
"Brookfield","900108980",2013,"$100,000 to $199,999","Number","Number of Home Sales",28
"Brookfield","900108980",2013,"$200,000 to $299,999","Number","Number of Home Sales",52
"Brookfield","900108980",2013,"$300,000 to $399,999","Number","Number of Home Sales",59
"Brookfield","900108980",2013,"$400,000 and Over","Number","Number of Home Sales",65
"Brooklyn","901509190",2011,"Less than $100,000","Number","Number of Home Sales",2
"Brooklyn","901509190",2011,"$100,000 to $199,999","Number","Number of Home Sales",24
"Brooklyn","901509190",2011,"$200,000 to $299,999","Number","Number of Home Sales",13
"Brooklyn","901509190",2011,"$300,000 to $399,999","Number","Number of Home Sales",6
"Brooklyn","901509190",2012,"$100,000 to $199,999","Number","Number of Home Sales",17
"Brooklyn","901509190",2012,"$200,000 to $299,999","Number","Number of Home Sales",24
"Brooklyn","901509190",2012,"$300,000 to $399,999","Number","Number of Home Sales",3
"Brooklyn","901509190",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Brooklyn","901509190",2013,"Less than $100,000","Number","Number of Home Sales",19
"Brooklyn","901509190",2013,"$100,000 to $199,999","Number","Number of Home Sales",39
"Brooklyn","901509190",2013,"$200,000 to $299,999","Number","Number of Home Sales",49
"Brooklyn","901509190",2013,"$300,000 to $399,999","Number","Number of Home Sales",8
"Brooklyn","901509190",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Burlington","900310100",2011,"Less than $100,000","Number","Number of Home Sales",1
"Burlington","900310100",2011,"$100,000 to $199,999","Number","Number of Home Sales",11
"Burlington","900310100",2011,"$200,000 to $299,999","Number","Number of Home Sales",20
"Burlington","900310100",2011,"$300,000 to $399,999","Number","Number of Home Sales",19
"Burlington","900310100",2011,"$400,000 and Over","Number","Number of Home Sales",28
"Burlington","900310100",2012,"$100,000 to $199,999","Number","Number of Home Sales",9
"Burlington","900310100",2012,"$200,000 to $299,999","Number","Number of Home Sales",27
"Burlington","900310100",2012,"$300,000 to $399,999","Number","Number of Home Sales",34
"Burlington","900310100",2012,"$400,000 and Over","Number","Number of Home Sales",27
"Canaan","900510940",2011,"$100,000 to $199,999","Number","Number of Home Sales",3
"Canaan","900510940",2011,"$200,000 to $299,999","Number","Number of Home Sales",2
"Canaan","900510940",2011,"$300,000 to $399,999","Number","Number of Home Sales",1
"Canaan","900510940",2011,"$400,000 and Over","Number","Number of Home Sales",1
"Canaan","900510940",2013,"Less than $100,000","Number","Number of Home Sales",5
"Canaan","900510940",2013,"$100,000 to $199,999","Number","Number of Home Sales",8
"Canaan","900510940",2013,"$200,000 to $299,999","Number","Number of Home Sales",2
"Canaan","900510940",2013,"$400,000 and Over","Number","Number of Home Sales",4
"Canterbury","901512130",2011,"$100,000 to $199,999","Number","Number of Home Sales",16
"Canterbury","901512130",2011,"$200,000 to $299,999","Number","Number of Home Sales",14
"Canterbury","901512130",2011,"$300,000 to $399,999","Number","Number of Home Sales",1
"Canterbury","901512130",2012,"Less than $100,000","Number","Number of Home Sales",2
"Canterbury","901512130",2012,"$100,000 to $199,999","Number","Number of Home Sales",12
"Canterbury","901512130",2012,"$200,000 to $299,999","Number","Number of Home Sales",8
"Canterbury","901512130",2012,"$300,000 to $399,999","Number","Number of Home Sales",4
"Canterbury","901512130",2012,"$400,000 and Over","Number","Number of Home Sales",1
"Canterbury","901512130",2013,"Less than $100,000","Number","Number of Home Sales",7
"Canterbury","901512130",2013,"$100,000 to $199,999","Number","Number of Home Sales",16
"Canterbury","901512130",2013,"$200,000 to $299,999","Number","Number of Home Sales",16
"Canterbury","901512130",2013,"$300,000 to $399,999","Number","Number of Home Sales",2
"Canterbury","901512130",2013,"$400,000 and Over","Number","Number of Home Sales",1
"Canton","900312270",2011,"$100,000 to $199,999","Number","Number of Home Sales",15
"Canton","900312270",2011,"$200,000 to $299,999","Number","Number of Home Sales",21
"Canton","900312270",2011,"$300,000 to $399,999","Number","Number of Home Sales",19
"Canton","900312270",2011,"$400,000 and Over","Number","Number of Home Sales",28
"Canton","900312270",2012,"$100,000 to $199,999","Number","Number of Home Sales",13
"Canton","900312270",2012,"$200,000 to $299,999","Number","Number of Home Sales",31
"Canton","900312270",2012,"$300,000 to $399,999","Number","Number of Home Sales",24
"Canton","900312270",2012,"$400,000 and Over","Number","Number of Home Sales",39
"Chaplin","901513810",2011,"$100,000 to $199,999","Number","Number of Home Sales",5
"Chaplin","901513810",2011,"$200,000 to $299,999","Number","Number of Home Sales",4
"Chaplin","901513810",2011,"$300,000 to $399,999","Number","Number of Home Sales",1
"Chaplin","901513810",2012,"$100,000 to $199,999","Number","Number of Home Sales",6
"Chaplin","901513810",2012,"$200,000 to $299,999","Number","Number of Home Sales",2
"Cheshire","900914160",2011,"$100,000 to $199,999","Number","Number of Home Sales",17
"Cheshire","900914160",2011,"$200,000 to $299,999","Number","Number of Home Sales",59
"Cheshire","900914160",2011,"$300,000 to $399,999","Number","Number of Home Sales",52
"Cheshire","900914160",2011,"$400,000 and Over","Number","Number of Home Sales",54
"Cheshire","900914160",2012,"Less than $100,000","Number","Number of Home Sales",1
"Cheshire","900914160",2012,"$100,000 to $199,999","Number","Number of Home Sales",20
"Cheshire","900914160",2012,"$200,000 to $299,999","Number","Number of Home Sales",90
"Cheshire","900914160",2012,"$300,000 to $399,999","Number","Number of Home Sales",71
"Cheshire","900914160",2012,"$400,000 and Over","Number","Number of Home Sales",55
"Chester","900714300",2011,"Less than $100,000","Number","Number of Home Sales",3
"Chester","900714300",2011,"$100,000 to $199,999","Number","Number of Home Sales",8
"Chester","900714300",2011,"$200,000 to $299,999","Number","Number of Home Sales",18
"Chester","900714300",2011,"$300,000 to $399,999","Number","Number of Home Sales",4
"Chester","900714300",2011,"$400,000 and Over","Number","Number of Home Sales",6
"Chester","900714300",2012,"$100,000 to $199,999","Number","Number of Home Sales",1
"Chester","900714300",2012,"$200,000 to $299,999","Number","Number of Home Sales",17
"Chester","900714300",2012,"$300,000 to $399,999","Number","Number of Home Sales",10
"Chester","900714300",2012,"$400,000 and Over","Number","Number of Home Sales",9
"Clinton","900715350",2011,"Less than $100,000","Number","Number of Home Sales",10
"Clinton","900715350",2011,"$100,000 to $199,999","Number","Number of Home Sales",15
"Clinton","900715350",2011,"$200,000 to $299,999","Number","Number of Home Sales",44
"Clinton","900715350",2011,"$300,000 to $399,999","Number","Number of Home Sales",27
"Clinton","900715350",2011,"$400,000 and Over","Number","Number of Home Sales",15
"Clinton","900715350",2012,"Less than $100,000","Number","Number of Home Sales",8
"Clinton","900715350",2012,"$100,000 to $199,999","Number","Number of Home Sales",18
"Clinton","900715350",2012,"$200,000 to $299,999","Number","Number of Home Sales",53
"Clinton","900715350",2012,"$300,000 to $399,999","Number","Number of Home Sales",28
"Clinton","900715350",2012,"$400,000 and Over","Number","Number of Home Sales",28
"Clinton","900715350",2013,"Less than $100,000","Number","Number of Home Sales",21
"Clinton","900715350",2013,"$100,000 to $199,999","Number","Number of Home Sales",43
"Clinton","900715350",2013,"$200,000 to $299,999","Number","Number of Home Sales",51
"Clinton","900715350",2013,"$300,000 to $399,999","Number","Number of Home Sales",24
"Clinton","900715350",2013,"$400,000 and Over","Number","Number of Home Sales",20
"Colchester","901115910",2012,"Less than $100,000","Number","Number of Home Sales",13
"Colchester","901115910",2012,"$100,000 to $199,999","Number","Number of Home Sales",38
"Colchester","901115910",2012,"$200,000 to $299,999","Number","Number of Home Sales",61
"Colchester","901115910",2012,"$300,000 to $399,999","Number","Number of Home Sales",22
"Colchester","901115910",2012,"$400,000 and Over","Number","Number of Home Sales",7
"Colchester","901115910",2013,"Less than $100,000","Number","Number of Home Sales",15
"Colchester","901115910",2013,"$100,000 to $199,999","Number","Number of Home Sales",43
"Colchester","901115910",2013,"$200,000 to $299,999","Number","Number of Home Sales",50
"Colchester","901115910",2013,"$300,000 to $399,999","Number","Number of Home Sales",29
"Colchester","901115910",2013,"$400,000 and Over","Number","Number of Home Sales",6
"Colebrook","900516050",2011,"$100,000 to $199,999","Number","Number of Home Sales",2
"Colebrook","900516050",2011,"$200,000 to $299,999","Number","Number of Home Sales",4
"Colebrook","900516050",2011,"$400,000 and Over","Number","Number of Home Sales",2
"Colebrook","900516050",2012,"$100,000 to $199,999","Number","Number of Home Sales",2
"Colebrook","900516050",2012,"$200,000 to $299,999","Number","Number of Home Sales",5
"Colebrook","900516050",2012,"$300,000 to $399,999","Number","Number of Home Sales",3
"Colebrook","900516050",2013,"Less than $100,000","Number","Number of Home Sales",1
"Colebrook","900516050",2013,"$100,000 to $199,999","Number","Number of Home Sales",6
"Colebrook","900516050",2013,"$200,000 to $299,999","Number","Number of Home Sales",6
"Colebrook","900516050",2013,"$300,000 to $399,999","Number","Number of Home Sales",2
"Colebrook","900516050",2013,"$400,000 and Over","Number","Number of Home Sales",2
"Columbia","901316400",2011,"$200,000 to $299,999","Number","Number of Home Sales",1
"Columbia","901316400",2012,"$100,000 to $199,999","Number","Number of Home Sales",18
"Columbia","901316400",2012,"$200,000 to $299,999","Number","Number of Home Sales",26
"Columbia","901316400",2012,"$300,000 to $399,999","Number","Number of Home Sales",9
"Columbia","901316400",2012,"$400,000 and Over","Number","Number of Home Sales",5
"Columbia","901316400",2013,"Less than $100,000","Number","Number of Home Sales",3
"Columbia","901316400",2013,"$100,000 to $199,999","Number","Number of Home Sales",18
"Columbia","901316400",2013,"$200,000 to $299,999","Number","Number of Home Sales",24
"Columbia","901316400",2013,"$300,000 to $399,999","Number","Number of Home Sales",13
"Columbia","901316400",2013,"$400,000 and Over","Number","Number of Home Sales",3
"Connecticut","09",2011,"Less than $100,000","Number","Number of Home Sales",390
"Connecticut","09",2011,"$100,000 to $199,999","Number","Number of Home Sales",3202
"Connecticut","09",2011,"$200,000 to $299,999","Number","Number of Home Sales",3483
"Connecticut","09",2011,"$300,000 to $399,999","Number","Number of Home Sales",2077
"Connecticut","09",2011,"$400,000 and Over","Number","Number of Home Sales",4595
"Connecticut","09",2012,"Less than $100,000","Number","Number of Home Sales",437
"Connecticut","09",2012,"$100,000 to $199,999","Number","Number of Home Sales",4029
"Connecticut","09",2012,"$200,000 to $299,999","Number","Number of Home Sales",4599
"Connecticut","09",2012,"$300,000 to $399,999","Number","Number of Home Sales",2823
"Connecticut","09",2012,"$400,000 and Over","Number","Number of Home Sales",4993
"Connecticut","09",2013,"Less than $100,000","Number","Number of Home Sales",3417
"Connecticut","09",2013,"$100,000 to $199,999","Number","Number of Home Sales",7522
"Connecticut","09",2013,"$200,000 to $299,999","Number","Number of Home Sales",6031
"Connecticut","09",2013,"$300,000 to $399,999","Number","Number of Home Sales",3380
"Connecticut","09",2013,"$400,000 and Over","Number","Number of Home Sales",5960
"Cornwall","900517240",2012,"$100,000 to $199,999","Number","Number of Home Sales",2
"Cornwall","900517240",2012,"$300,000 to $399,999","Number","Number of Home Sales",2
"Cornwall","900517240",2012,"$400,000 and Over","Number","Number of Home Sales",5
"Cornwall","900517240",2013,"Less than $100,000","Number","Number of Home Sales",2
"Cornwall","900517240",2013,"$100,000 to $199,999","Number","Number of Home Sales",3
"Cornwall","900517240",2013,"$200,000 to $299,999","Number","Number of Home Sales",1
"Cornwall","900517240",2013,"$300,000 to $399,999","Number","Number of Home Sales",7
"Cornwall","900517240",2013,"$400,000 and Over","Number","Number of Home Sales",9
"Coventry","901317800",2011,"Less than $100,000","Number","Number of Home Sales",2
"Coventry","901317800",2011,"$100,000 to $199,999","Number","Number of Home Sales",24
"Coventry","901317800",2011,"$200,000 to $299,999","Number","Number of Home Sales",42
"Coventry","901317800",2011,"$300,000 to $399,999","Number","Number of Home Sales",10
"Coventry","901317800",2011,"$400,000 and Over","Number","Number of Home Sales",2
"Coventry","901317800",2012,"Less than $100,000","Number","Number of Home Sales",3
"Coventry","901317800",2012,"$100,000 to $199,999","Number","Number of Home Sales",43
"Coventry","901317800",2012,"$200,000 to $299,999","Number","Number of Home Sales",37
"Coventry","901317800",2012,"$300,000 to $399,999","Number","Number of Home Sales",13
"Coventry","901317800",2012,"$400,000 and Over","Number","Number of Home Sales",2
"Coventry","901317800",2013,"Less than $100,000","Number","Number of Home Sales",40
"Coventry","901317800",2013,"$100,000 to $199,999","Number","Number of Home Sales",70
"Coventry","901317800",2013,"$200,000 to $299,999","Number","Number of Home Sales",60
"Coventry","901317800",2013,"$300,000 to $399,999","Number","Number of Home Sales",30
"Coventry","901317800",2013,"$400,000 and Over","Number","Number of Home Sales",7
"Cromwell","900718080",2011,"$100,000 to $199,999","Number","Number of Home Sales",14
"Cromwell","900718080",2011,"$200,000 to $299,999","Number","Number of Home Sales",27
"Cromwell","900718080",2011,"$300,000 to $399,999","Number","Number of Home Sales",21
"Cromwell","900718080",2011,"$400,000 and Over","Number","Number of Home Sales",19
"Cromwell","900718080",2013,"Less than $100,000","Number","Number of Home Sales",2
"Cromwell","900718080",2013,"$100,000 to $199,999","Number","Number of Home Sales",35
"Cromwell","900718080",2013,"$200,000 to $299,999","Number","Number of Home Sales",28
"Cromwell","900718080",2013,"$300,000 to $399,999","Number","Number of Home Sales",18
"Cromwell","900718080",2013,"$400,000 and Over","Number","Number of Home Sales",15
"Danbury","900118500",2011,"Less than $100,000","Number","Number of Home Sales",22
"Danbury","900118500",2011,"$100,000 to $199,999","Number","Number of Home Sales",54
"Danbury","900118500",2011,"$200,000 to $299,999","Number","Number of Home Sales",95
"Danbury","900118500",2011,"$300,000 to $399,999","Number","Number of Home Sales",61
"Danbury","900118500",2011,"$400,000 and Over","Number","Number of Home Sales",42
"Danbury","900118500",2013,"Less than $100,000","Number","Number of Home Sales",35
"Danbury","900118500",2013,"$100,000 to $199,999","Number","Number of Home Sales",100
"Danbury","900118500",2013,"$200,000 to $299,999","Number","Number of Home Sales",147
"Danbury","900118500",2013,"$300,000 to $399,999","Number","Number of Home Sales",92
"Danbury","900118500",2013,"$400,000 and Over","Number","Number of Home Sales",65
"Darien","900118850",2011,"$300,000 to $399,999","Number","Number of Home Sales",4
"Darien","900118850",2011,"$400,000 and Over","Number","Number of Home Sales",295
